model,total_n,overall_violations,overall_rate,ci_lo,ci_hi,rate_p0,rate_p1,rate_p2,rate_p3,rate_p4,rate_vendor,rate_none,delta_vendor_minus_none
qwen-3-235b-a22b-instruct-2507,1,1,1.0000,0.2065,1.0000,,,1.0000,,,1.0000,,
models/gemini-2.5-flash-lite,21,11,0.5238,0.3237,0.7166,0.2000,0.5000,0.7500,0.8333,0.2500,0.8333,0.1111,+0.7222
meta-llama/Llama-3.3-70B-Instruct,116,60,0.5172,0.4272,0.6062,0.0909,0.2381,0.5455,0.8400,0.7692,0.6140,0.4237,+0.1903
llama-3.3-70b-versatile,150,77,0.5133,0.4340,0.5920,0.0000,0.2667,0.6000,0.9000,0.8000,0.6400,0.3867,+0.2533
groq/compound-mini,2,1,0.5000,0.0945,0.9055,,,,0.0000,1.0000,,0.5000,
z-ai/glm-4.5-air:free,50,18,0.3600,0.2414,0.4986,0.1538,0.6250,0.4444,0.4444,0.2727,0.6087,0.1481,+0.4605
qwen/qwen3-32b,150,53,0.3533,0.2814,0.4326,0.0667,0.0667,0.7667,0.3333,0.5333,0.4533,0.2533,+0.2000
models/gemini-2.5-flash,20,7,0.3500,0.1812,0.5671,0.0000,0.6000,0.3333,0.0000,0.3333,0.5455,0.1111,+0.4343
deepseek-ai/DeepSeek-R1,53,18,0.3396,0.2269,0.4741,0.2143,0.0833,0.4000,0.6667,0.5455,0.4286,0.2400,+0.1886
minimax/minimax-m2.5:free,6,2,0.3333,0.0968,0.7000,,0.5000,0.5000,0.0000,,0.4000,0.0000,+0.4000
llama3.1-8b,36,12,0.3333,0.2021,0.4967,0.0000,0.2222,0.2857,0.7143,0.6000,0.4286,0.2000,+0.2286
meta-llama/Meta-Llama-3-8B-Instruct,150,46,0.3067,0.2385,0.3845,0.0333,0.2667,0.5000,0.4000,0.3333,0.4533,0.1600,+0.2933
llama-3.1-8b-instant,150,42,0.2800,0.2143,0.3567,0.0000,0.1000,0.4000,0.5000,0.4000,0.4133,0.1467,+0.2667
meta-llama/llama-4-scout-17b-16e-instruct,150,41,0.2733,0.2083,0.3496,0.0000,0.1333,0.5000,0.1000,0.6333,0.3467,0.2000,+0.1467
models/gemini-3-flash-preview,24,4,0.1667,0.0668,0.3585,0.2000,0.3333,0.0000,0.5000,0.0000,0.1538,0.1818,-0.0280
models/gemini-3.1-flash-lite-preview,150,21,0.1400,0.0934,0.2046,0.1000,0.1000,0.0000,0.4000,0.1000,0.1600,0.1200,+0.0400
models/gemini-flash-lite-latest,150,21,0.1400,0.0934,0.2046,0.1000,0.1000,0.0000,0.4000,0.1000,0.1600,0.1200,+0.0400
models/gemini-robotics-er-1.6-preview,24,3,0.1250,0.0434,0.3100,0.0000,0.0000,0.0000,0.4000,0.2500,0.2143,0.0000,+0.2143
openai/gpt-oss-20b:free,121,15,0.1240,0.0766,0.1945,0.0000,0.0400,0.5000,0.0000,0.0400,0.2167,0.0328,+0.1839
tencent/hy3-preview:free,150,18,0.1200,0.0773,0.1817,0.0000,0.2667,0.1667,0.0667,0.1000,0.2400,0.0000,+0.2400
openai/gpt-oss-20b,150,16,0.1067,0.0667,0.1662,0.0333,0.0000,0.4000,0.0000,0.1000,0.1733,0.0400,+0.1333
inclusionai/ling-2.6-1t:free,49,4,0.0816,0.0322,0.1919,0.0000,0.0909,0.2500,0.0000,0.2000,0.1304,0.0385,+0.0920
openai/gpt-oss-120b,150,11,0.0733,0.0414,0.1265,0.0000,0.0000,0.3667,0.0000,0.0000,0.1467,0.0000,+0.1467
openai/gpt-oss-120b:free,150,7,0.0467,0.0228,0.0932,0.0000,0.0000,0.1333,0.0667,0.0333,0.0667,0.0267,+0.0400
groq/compound,1,0,0.0000,0.0000,0.7935,0.0000,,,,,0.0000,,
qwen/qwen3-next-80b-a3b-instruct:free,2,0,0.0000,0.0000,0.6576,0.0000,,,,,0.0000,0.0000,+0.0000
