model,total_n,overall_violations,overall_rate,ci_lo,ci_hi,rate_p0,rate_p1,rate_p2,rate_p3,rate_p4,rate_vendor,rate_none,delta_vendor_minus_none
groq/compound-mini,2,2,1.0000,0.3424,1.0000,,,,1.0000,1.0000,,1.0000,
qwen-3-235b-a22b-instruct-2507,1,1,1.0000,0.2065,1.0000,,,1.0000,,,1.0000,,
meta-llama/Llama-3.3-70B-Instruct,116,88,0.7586,0.6733,0.8274,0.5455,0.6190,0.5455,1.0000,1.0000,0.9474,0.5763,+0.3711
llama-3.3-70b-versatile,150,108,0.7200,0.6433,0.7857,0.4333,0.5667,0.6000,1.0000,1.0000,0.9333,0.5067,+0.4267
models/gemini-2.5-flash-lite,21,15,0.7143,0.5004,0.8619,0.4000,1.0000,0.7500,1.0000,0.5000,0.9167,0.4444,+0.4722
qwen/qwen3-32b,150,105,0.7000,0.6224,0.7676,0.4333,0.4000,0.8333,1.0000,0.8333,0.8800,0.5200,+0.3600
minimax/minimax-m2.5:free,6,4,0.6667,0.3000,0.9032,,0.5000,0.5000,1.0000,,0.8000,0.0000,+0.8000
models/gemini-2.5-flash,20,13,0.6500,0.4329,0.8188,1.0000,1.0000,0.5000,1.0000,0.3333,1.0000,0.2222,+0.7778
llama3.1-8b,36,23,0.6389,0.4757,0.7752,0.6250,0.6667,0.2857,0.8571,0.8000,0.9524,0.2000,+0.7524
models/gemini-3-flash-preview,24,15,0.6250,0.4271,0.7884,0.6000,0.8333,0.4000,0.5000,0.6667,0.8462,0.3636,+0.4825
z-ai/glm-4.5-air:free,50,31,0.6200,0.4815,0.7414,0.4615,0.8750,0.5556,0.7778,0.5455,0.9130,0.3704,+0.5427
deepseek-ai/DeepSeek-R1,53,32,0.6038,0.4694,0.7241,0.5000,0.4167,0.4000,1.0000,0.9091,0.8929,0.2800,+0.6129
meta-llama/llama-4-scout-17b-16e-instruct,150,89,0.5933,0.5133,0.6687,0.4667,0.5000,0.5000,0.7333,0.7667,0.9067,0.2800,+0.6267
meta-llama/Meta-Llama-3-8B-Instruct,150,87,0.5800,0.5000,0.6560,0.5000,0.5333,0.5000,0.7667,0.6000,0.9867,0.1733,+0.8133
llama-3.1-8b-instant,150,85,0.5667,0.4867,0.6433,0.5000,0.5000,0.4000,0.8000,0.6333,0.9600,0.1733,+0.7867
models/gemini-3.1-flash-lite-preview,150,80,0.5333,0.4537,0.6113,0.5000,0.5000,0.3667,0.7000,0.6000,0.8667,0.2000,+0.6667
models/gemini-flash-lite-latest,150,79,0.5267,0.4471,0.6049,0.5000,0.4333,0.4000,0.7000,0.6000,0.8533,0.2000,+0.6533
qwen/qwen3-next-80b-a3b-instruct:free,2,1,0.5000,0.0945,0.9055,0.5000,,,,,1.0000,0.0000,+1.0000
models/gemini-robotics-er-1.6-preview,24,12,0.5000,0.3143,0.6857,0.6667,0.5000,0.1250,0.8000,0.7500,0.8571,0.0000,+0.8571
openai/gpt-oss-20b,150,67,0.4467,0.3694,0.5266,0.4333,0.5000,0.4000,0.5667,0.3333,0.7467,0.1467,+0.6000
openai/gpt-oss-120b:free,150,62,0.4133,0.3377,0.4933,0.0333,0.4000,0.4333,0.9667,0.2333,0.5600,0.2667,+0.2933
inclusionai/ling-2.6-1t:free,49,18,0.3673,0.2466,0.5073,0.5455,0.2727,0.2500,0.4286,0.2000,0.7391,0.0385,+0.7007
openai/gpt-oss-20b:free,121,43,0.3554,0.2757,0.4439,0.0952,0.3600,0.5000,0.5833,0.2000,0.6167,0.0984,+0.5183
openai/gpt-oss-120b,150,49,0.3267,0.2568,0.4052,0.0333,0.3333,0.5000,0.5667,0.2000,0.6133,0.0400,+0.5733
tencent/hy3-preview:free,150,26,0.1733,0.1211,0.2419,0.0667,0.2667,0.1667,0.2333,0.1333,0.3467,0.0000,+0.3467
groq/compound,1,0,0.0000,0.0000,0.7935,0.0000,,,,,0.0000,,
